Featurecla.C.11,Name.C.128,Code.C.4,StartDate.d.1,Latitude.d.1,Longitude.d.1
Airfield,Abbots Bromley (A),X3AB,1940,52.8275,-1.89222222222222
Airfield,Aberdeen (A),EGPD,1934,57.2019444444444,-2.19777777777778
Airfield,Aberdeen (C),X0RQ,0,57.1666666666667,-2.08333333333333
Airfield,Abergavenny (A),X7AB,0,51.7944444444444,-2.99388888888889
Airfield,Abergavenny (B),X0AY,1920,51.8116666666667,-3.0275
Airfield,Abingdon (A),X2AB,1932,51.6877777777778,-1.31611111111111
Airfield,Aboyne (A),X6AB,0,57.0755555555556,-2.83944444444444
Airfield,Abridge (C),X0AL,1932,51.65,0.116666666666667
Airfield,Acklington (A),X5AK,1916,55.3008333333333,-1.64027777777778
Airfield,Acton (A),X0AG,1910,51.5180555555556,-0.270277777777778
Airfield,Addlestone (A),++++,1916,51.3744444444444,-0.482777777777778
Airfield,Aintree (A),X0AI,1909,53.4769444444444,-2.94638888888889
Airfield,Akeman Street (A),X2AK,1940,51.8227777777778,-1.51694444444444
Airfield,Albourne (A),EGKD,0,50.9288888888889,-0.213888888888889
Airfield,Alcester (A),X3AS,0,52.2311111111111,-1.87722222222222
Airfield,Alconbury (A),X3AY,1938,52.3747222222222,-0.220277777777778
Airfield,Aldeburgh (A),X0AD,0,52.1825,1.57277777777778
Airfield,Alder Hall (B),X3AH,0,52.6138888888889,-1.27555555555556
Airfield,Aldermaston (A),X2AM,1942,51.3669444444444,-1.14388888888889
Airfield,Alderney (A),EGJA,0,49.7066666666667,-2.215
Airfield,Alexandra Park (A),X4AP,1918,53.4475,-2.22555555555556
Airfield,All Hallows (B),X0AH,0,51.4702777777778,0.638888888888889
Airfield,Allensmore (A),X3AL,0,51.99,-2.78166666666667
Airfield,Alloa (A),X6AA,1914,56.1138888888889,-3.76777777777778
Airfield,Alness (A),X6AL,0,57.68,-4.26583333333333
Airfield,Alnwick (B),X0AW,1916,55.3702777777778,-1.73555555555556
Airfield,Alton Barnes (A),X2AL,1935,51.3569444444444,-1.85722222222222
Airfield,Andover (A),X2AN,1916,51.2102777777778,-1.53138888888889
Airfield,Andreas (A),X9AN,1941,54.3711111111111,-4.42333333333333
Airfield,Andrews Field (A),EGSL,1942,51.895,0.449444444444444
Airfield,Angle (A),X7AN,1941,51.6747222222222,-5.09916666666667
Airfield,Annan (A),X6AN,1942,55.0183333333333,-3.22944444444444
Airfield,Ansty (A),X3AN,1920,52.4297222222222,-1.4075
Airfield,Anthorn (A),X5AN,1944,54.9111111111111,-3.27916666666667
Airfield,Anwick (C),X0AN,1916,53.05,-0.35
Airfield,Appledram (A),X2AP,1943,50.8133333333333,-0.810555555555556
Airfield,Appleton Wiske (C),X0AP,1914,54.45,-1.36666666666667
Airfield,Arbroath (A),X6AR,1940,56.5808333333333,-2.61527777777778
Airfield,Archerfield (A),X9AF,0,56.0436111111111,-2.80166666666667
Airfield,Arclid (A),X4AR,0,53.1416666666667,-2.31833333333333
Airfield,Arlington (C),X0AR,0,50.85,0.183333333333333
Airfield,Armagh (A),X8AM,1940,54.3202777777778,-6.655
Airfield,Armagh Field (C),X8AF,1990,54.3666666666667,-6.58333333333333
Airfield,Arran Heliport (A),X6AH,0,55.5766666666667,-5.13444444444444
Airfield,Ascot Heliport (A),EGLT,0,51.42,-0.658055555555556
Airfield,Ashbourne (A),X4AB,1942,53.0066666666667,-1.70555555555556
Airfield,Ashcroft (A),EGCR,0,53.1641666666667,-2.57222222222222
Airfield,Ashford (A),X2AH,1943,51.1216666666667,0.813611111111111
Airfield,Ashingdon (B),X0AQ,1933,51.5916666666667,0.701111111111111
Airfield,Ashingdon (B),X0AO,0,51.6122222222222,0.705833333333333
Airfield,Ashington (C),X0AS,1916,55.2,-1.58333333333333
Airfield,Ashley's Field (A),X4AF,0,53.2188888888889,0.270277777777778
Airfield,Aston Down (A),X2AD,1938,51.7080555555556,-2.13055555555556
Airfield,Atcham (A),X3AC,1941,52.6897222222222,-2.63416666666667
Airfield,Attlebridge (A),X3AT,1941,52.6922222222222,1.1125
Airfield,Atwick Racecourse (A),X0AT,0,53.9502777777778,-0.185277777777778
Airfield,Audley End (A),X3AE,0,52.0077777777778,0.224166666666667
Airfield,Aughrim (A),X8AU,0,54.0919444444444,-6.04444444444444
Airfield,Auldbar (A),X0AU,0,56.6941666666667,-2.70277777777778
Airfield,Aylesbury (A),EGTA,1940,51.7761111111111,-0.939166666666667
Airfield,Ayr (A),X6AY,1916,55.4647222222222,-4.60888888888889
Airfield,Ayr (A),X6HF,1941,55.4855555555556,-4.59833333333333
Airfield,Ayton Castle (A),X6AC,0,55.8511111111111,-2.11833333333333
Airfield,Babdown Farm (A),X1BF,1940,51.6427777777778,-2.22361111111111
Airfield,Bacton (A),X0BA,0,52.8394444444444,1.47611111111111
Airfield,Badminton (A),X2BD,0,51.5488888888889,-2.30194444444444
Airfield,Bagby (A),EGNG,0,54.2113888888889,-1.29194444444444
Airfield,Bakersfield (A),X3BK,0,52.4847222222222,-0.618333333333333
Airfield,Balado Bridge (A),X6BB,1942,56.2141666666667,-3.4575
Airfield,Balderton (A),X4BD,1941,53.0358333333333,-0.785277777777778
Airfield,Balhall (C),X6BH,0,56.7333333333333,-2.8
Airfield,Ballyhalbert (A),X8BH,1941,54.4966666666667,-5.47055555555556
Airfield,Ballykelly (A),EGQB,1941,55.0605555555556,-7.01583333333333
Airfield,Ballyliffan (A),X0IB,0,55.2902777777778,-7.38333333333333
Airfield,Ballymena (C),X8BM,0,54.8666666666667,-6.23333333333333
Airfield,Ballywater (A),X0BW,1916,54.5522222222222,-5.48527777777778
Airfield,Balmain (C),X7BL,0,56.8333333333333,-2.58333333333333
Airfield,Balta Sound (C),X7BS,0,60.75,-0.8
Airfield,Banbury (A),X0BY,0,52.0833333333333,-1.37416666666667
Airfield,Banff (A),X6BN,1943,57.6686111111111,-2.6375
Airfield,Bangor (C),X0BG,1918,53.2166666666667,-4.05
Airfield,Bannfoot (C),X8BF,1985,54.5,-6.5
Airfield,Bardney (A),X4BA,1943,53.2261111111111,-0.293055555555556
Airfield,Barford St John (A),X3BJ,1941,52.0036111111111,-1.35722222222222
Airfield,Barking (A),X2BC,1909,51.5180555555556,0.113611111111111
Airfield,Barkston Heath (A),EGYE,1941,52.9627777777778,-0.560555555555556
Airfield,Barlow (A),X0BL,1915,53.7572222222222,-0.999722222222222
Airfield,Barnsley Park (B),X1BA,1941,51.7666666666667,-1.88972222222222
Airfield,Barnstaple (A),X0BR,1934,51.0894444444444,-4.15416666666667
Airfield,Barra (A),EGPR,1935,57.0233333333333,-7.4425
Airfield,Barrhead (A),X0GH,1911,55.785,-4.36555555555556
Airfield,Barrow (A),EGNL,1914,54.1288888888889,-3.26388888888889
Airfield,Barrow in Furness (A),X0FU,0,54.105,-3.20138888888889
Airfield,Barton Abbey (A),X1BT,0,51.9202777777778,-1.33416666666667
Airfield,Barton Bendish (A),X1BB,0,52.6175,0.51
Airfield,Barton in the Clay (A),X2BA,1935,51.9730555555556,-0.444722222222222
Airfield,Bassingbourn (A),X3BB,1938,52.0972222222222,-0.0572222222222222
Airfield,Bath (A),X1BL,0,51.4138888888889,-2.3875
Airfield,Battleflat Farm (A),X3BQ,0,52.6986111111111,-1.35305555555556
Airfield,Battlestead Hill (A),X3BH,1942,52.8055555555556,-1.68861111111111
Airfield,Bawtry (A),X4BY,0,53.4213888888889,-1.03027777777778
Airfield,Baxterley (A),X3BX,0,52.5691666666667,-1.6125
Airfield,Beacon Hill (C),X5BE,1916,55.2,-1.73333333333333
Airfield,Beaulieu (A),X2BE,1910,50.8047222222222,-1.505
Airfield,Beaulieu (A),X1BU,0,50.8105555555556,-1.46388888888889
Airfield,Beaumaris (A),X7BM,1940,53.2761111111111,-4.08777777777778
Airfield,Beccles (A),EGSM,1943,52.4361111111111,1.60916666666667
Airfield,Bedford (A),X3TH,1941,52.2305555555556,-0.464166666666667
Airfield,Bedford  (A),X9BD,0,52.1427777777778,-0.405833333333333
Airfield,Beeches Farm (A),X4BF,0,53.1594444444444,-0.725277777777778
Airfield,Beechwood Park (A),X1BP,0,51.8166666666667,0.55
Airfield,Bekesbourne (C),X0BS,1916,51.25,1.16666666666667
Airfield,Belchamp Walter (A),X3BW,0,52.0341666666667,0.639722222222222
Airfield,Belfast  (A),EGAA,1918,54.6575,-6.21583333333333
Airfield,Belfast City (A),EGAC,1938,54.6180555555556,-5.8725
Airfield,Belfast Lough (A),X8BL,0,54.6502777777778,-5.82361111111111
Airfield,Bellarena (A),X8BR,0,55.1433333333333,-6.96583333333333
Airfield,Bellasize (A),X4BZ,1916,53.7369444444444,-0.755
Airfield,Belle Vue (A),X1BE,0,50.9766666666667,-4.09777777777778
Airfield,Bembridge (A),EGHJ,1916,50.6780555555556,-1.10972222222222
Airfield,Bembridge Harbour (A),X0BB,1916,50.6933333333333,-1.10111111111111
Airfield,Bembridge Point (A),X0FL,1918,50.6838888888889,-1.08138888888889
Airfield,Benbecula (A),EGPL,1941,57.4813888888889,-7.36194444444444
Airfield,Benington (A),X9BE,0,51.8827777777778,-0.123888888888889
Airfield,Benone Strand (A),X8BS,0,55.1666666666667,-6.85916666666667
Airfield,Benson (A),EGUB,1939,51.6152777777778,-1.09583333333333
Airfield,Benton (A),X0BN,0,55.0197222222222,-1.575
Airfield,Bentwaters (A),X3NT,1944,52.1269444444444,1.43444444444444
Airfield,Benwick (A),X9BW,0,52.5080555555556,-0.0211111111111111
Airfield,Berrow (A),X2BJ,0,52.0041666666667,-2.27916666666667
Airfield,Berrow (A),X9BS,0,52.0008333333333,-2.35666666666667
Airfield,Beverley (A),EGNY,0,53.8983333333333,-0.361388888888889
Airfield,Beverley (A),X0EV,0,53.8455555555556,-0.453055555555556
Airfield,Bexley Heath (C),++++,0,51.45,0.15
Airfield,Bibury (A),X1BY,1940,51.7802777777778,-1.83638888888889
Airfield,Bicester (A),EGDD,1917,51.9161111111111,-1.13166666666667
Airfield,Bidford (A),X3BF,0,52.1377777777778,-1.85027777777778
Airfield,Bidston (C),X0ID,0,53.4111111111111,-3.06666666666667
Airfield,Biggin Hill (A),EGKB,1917,51.3311111111111,0.0325
Airfield,Billing (B),X2BQ,0,52.2438888888889,-0.818611111111111
Airfield,Binbrook (A),X4BB,1940,53.4525,-0.205833333333333
Airfield,Binsoe (C),X0BI,1916,54.2166666666667,-1.61666666666667
Airfield,Binstead (A),X2BS,0,50.7219444444444,-1.205
Airfield,Birch (A),X1BH,1944,51.8422222222222,0.781388888888889
Airfield,Bircham Newton (A),X3BM,1916,52.8775,0.653333333333333
Airfield,Bircotes (A),X4BR,1941,53.4361111111111,-1.04027777777778
Airfield,Birmingham (A),EGBB,1939,52.4538888888889,-1.74805555555556
Airfield,Birmingham (A),X3LB,1917,52.3894444444444,-1.98944444444444
Airfield,Birmingham (B),X0BV,0,52.4083333333333,-1.95916666666667
Airfield,Bishopscourt (A),X8BC,1943,54.3072222222222,-5.57527777777778
Airfield,Bishopton (B),X0BP,1916,54.5822222222222,-1.44166666666667
Airfield,Bisterne (A),X2BI,1943,50.82,-1.77805555555556
Airfield,Bitteswell (A),X3BI,1942,52.4611111111111,-1.24611111111111
Airfield,Black Isle (A),X6BI,1941,57.6227777777778,-4.15388888888889
Airfield,Blackbushe (A),EGLK,1943,51.3241666666667,-0.846666666666667
Airfield,Blackheath (B),X0BH,1915,51.8552777777778,0.910555555555556
Airfield,Blackpool (A),EGNH,1909,53.7716666666667,-3.02944444444444
Airfield,Blackpool (A),X0SW,1928,53.8152777777778,-3.01333333333333
Airfield,Blair Atholl (A),X9BA,0,56.7636111111111,-3.82555555555556
Airfield,Blakehill Farm (A),X1BK,1944,51.6222222222222,-1.88916666666667
Airfield,Blandford (A),X0LN,0,50.8694444444444,-2.15361111111111
Airfield,Bleese Hall (A),X5BH,0,54.2936111111111,-2.69361111111111
Airfield,Blidworth (A),X3BE,1941,53.1058333333333,-1.11416666666667
Airfield,Blythe Bridge (B),X0YE,1919,52.9583333333333,-2.075
Airfield,Blyton (A),X4BL,1942,53.4519444444444,-0.693611111111111
Airfield,Boa Island (A),X8BI,1944,54.5161111111111,-7.82111111111111
Airfield,Bodmin (A),EGLA,0,50.4997222222222,-4.66583333333333
Airfield,Bodney (A),X3BD,1940,52.5608333333333,0.711666666666667
Airfield,Bodorgon (A),X7BO,1940,53.185,-4.42916666666667
Airfield,Bognor (A),X2BG,1943,50.7947222222222,-0.707222222222222
Airfield,Bognor Regis (A),X1BR,0,50.8013888888889,-0.659166666666667
Airfield,Bolt Head (A),X2BH,1941,50.2238888888889,-3.80166666666667
Airfield,Boones Farm (A),X2BF,0,51.9119444444444,0.59
Airfield,Boreham (A),X1BO,1944,51.7788888888889,0.520555555555556
Airfield,Boscombe Down (A),EGDM,1917,51.1533333333333,-1.75111111111111
